Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,12.320,010 12320,01.0.12.320,Frais d'abonnement à des agences d'information et à des bases de données,66 208,0,0,,,,Crédit sans distinction d'exercice
Article,12.321,010 12321,01.0.12.321,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social; dépenses diverses,20 708,0,0,0,0,0,Crédit non limitatif et sans distinction d'exercice
Article,12.340,010 12340,01.0.12.340,Comité de coordination pour l'installation d'institutions et d'organismes européens: frais de fonctionnement,424 875,455 595,361 649,363 183,364 976,367 039,Crédit non limitatif et sans distinction d'exercice
Article,12.350,010 12350,01.0.12.350,Frais de fonctionnement des consulats honoraires luxembourgeois à l'étranger,22 534,40 500,36 000,36 468,37 015,37 644,Crédit sans distinction d'exercice
Article,12.352,010 12352,01.0.12.352,Aide aux Luxembourgeois en situation de détresse à l'étranger,,3 000,3 000,3 000,3 000,3 000,Crédit non limitatif et sans distinction d'exercice
Article,12.361,010 12361,01.0.12.361,Dépenses diverses en rapport avec les obligations protocolaires et avec la représentation extérieure du Ministère des Affaires étrangères et européennes,21 330,25 000,25 000,25 325,25 705,26 142,Crédit sans distinction d'exercice
Article,12.362,010 12362,01.0.12.362,Frais protocolaires en relation avec l'aéroport,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,33.010,010 33010,01.0.33.010,Subsides à des sociétés de bienfaisance ou d'aide sociale luxembourgeoises ou à d'autres associations luxembourgeoises poursuivant des buts internationaux ou ayant pour objet de sauvegarder les intérêts nationaux à l'étranger,20 106,20 050,20 050,20 311,20 615,20 966,
Article,35.010,010 35010,01.0.35.010,Centres communs des visas de pays membres de l'UE: participation aux frais de fonctionnement,,5 000,15 000,15 000,15 000,15 000,Crédit non limitatif et sans distinction d'exercice
Article,35.060,010 35060,01.0.35.060,Conférences et réunions internationales: participation aux frais communs; dépenses diverses des délégations luxembourgeoises; frais généraux,14 203,15 702,15 700,15 904,16 143,16 417,Crédit non limitatif et sans distinction d'exercice
Article,11.630,010 11630,01.0.11.630,Indemnités pour services extraordinaires,1 182,,,,,,
Article,12.540,010 12540,01.0.12.540,Frais de bureau,,155,,,,,
Article,12.570,010 12570,01.0.12.570,Frais d'entretien des équipements informatiques,128,,,,,,
Article,12.820,010 12820,01.0.12.820,Frais d'abonnement à des agences d'information et à des bases de données,18 860,0,0,,,,
Section,01.1,011,01.1,Relations internationales.- Missions luxembourgeoises à l'étranger,39 457 095,42 361 583,45 669 527,42 897 511,43 205 071,44 119 668,
Article,11.000,011 11000,01.1.11.000,Traitements des fonctionnaires,13 359 821,14 564 865,15 451 963,12 580 285,12 861 293,13 339 187,Crédit non limitatif et sans distinction d'exercice
Article,11.090,011 11090,01.1.11.090,Indemnités de poste et de logement du personnel à l'étranger,6 260 653,6 571 024,6 834 556,6 871 782,6 994 689,7 122 593,Crédit non limitatif et sans distinction d'exercice
Article,11.140,011 11140,01.1.11.140,Remboursement des frais exceptionnels de scolarité des agents en fonction à l'étranger,739 857,698 000,757 365,767 211,778 719,791 957,Crédit non limitatif et sans distinction d'exercice
Article,11.141,011 11141,01.1.11.141,Remboursement partiel des frais médicaux des agents en fonction à l'étranger,256 292,296 000,330 000,334 290,339 304,345 073,Crédit non limitatif et sans distinction d'exercice
Article,11.300,011 11300,01.1.11.300,"Ambassades, représentations permanentes et consulats: indemnités, salaires et charges sociales des employés de bureau et du personnel ouvrier recrutés sur place; dépenses diverses de personnel",11 164 914,11 970 115,12 794 509,12 948 043,13 168 160,13 326 178,Crédit non limitatif et sans distinction d'exercice
Article,12.011,011 12011,01.1.12.011,Frais de déménagement,309 663,200 000,904 000,652 000,200 000,200 000,Crédit non limitatif et sans distinction d'exercice
Article,12.012,011 12012,01.1.12.012,Remboursement des frais de voyages statutaires des agents à l'étranger,203 849,264 000,309 440,310 000,316 000,322 000,Crédit non limitatif et sans distinction d'exercice
Article,12.080,011 12080,01.1.12.080,Frais généraux d'entretien des immeubles,777 391,815 000,865 445,876 696,889 846,904 974,Crédit sans distinction d'exercice
Article,12.081,011 12081,01.1.12.081,"Bâtiments: chauffage, eau, gaz, électricité",649 691,718 000,735 000,744 555,755 723,768 571,Crédit non limitatif et sans distinction d'exercice
Article,12.084,011 12084,01.1.12.084,Immeuble administratif à Bruxelles: frais de fonctionnement et d'entretien; dépenses diverses,1 341 875,1 320 000,1 320 000,1 337 000,1 357 000,1 380 000,Crédit non limitatif et sans distinction d'exercice
Article,12.100,011 12100,01.1.12.100,Loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,2 055 267,2 321 430,2 694 300,2 770 000,2 800 000,2 830 000,Crédit non limitatif et sans distinction d'exercice
Article,12.250,011 12250,01.1.12.250,"Frais de formation, de bureau, de télécommunications, d'informatique et de banque, frais d'assurances autres que responsabilité civile automobile et assurances liées à l'exploitation des immeubles, frais de transport du courrier diplomatique et de transport de vin luxembourgeois, taxes et impôts",1 053 022,1 150 000,1 180 000,1 195 000,1 213 000,1 234 000,Crédit sans distinction d'exercice
Article,12.251,011 12251,01.1.12.251,Frais de mise en place et de fonctionnement de nouvelles missions luxembourgeoises à l'étranger,62 500,143 149,131 449,131 449,131 449,131 449,Crédit non limitatif et sans distinction d'exercice
Article,12.254,011 12254,01.1.12.254,Frais de déplacement,327 547,380 000,381 500,386 460,392 256,398 925,Crédit sans distinction d'exercice
Article,12.256,011 12256,01.1.12.256,Frais de contentieux et d'experts,109 057,90 000,95 000,96 235,97 679,99 339,Crédit non limitatif et sans distinction d'exercice
Article,12.300,011 12300,01.1.12.300,"Frais de représentation, actions de promotion économique, commerciale et culturelle du Luxembourg à l'étranger organisées par les missions, Maisons du Grand-Duché de Luxembourg à l'étranger",785 696,860 000,885 000,896 505,909 953,925 422,Crédit sans distinction d'exercice
Section,01.2,012,01.2,Relations internationales.- Contributions à des organismes internationaux,14 631 118,13 288 460,14 779 770,14 844 653,14 937 092,15 172 684,
Article,11.300,012 11300,01.2.11.300,Missions de gestion civile ou militaire de crise et missions d'observation et de soutien organisées par le Luxembourg et/ou des organisations internationales: dépenses de personnel,8 021,11 961,11 961,13 000,13 000,13 000,Crédit non limitatif et sans distinction d'exercice
Article,12.300,012 12300,01.2.12.300,Missions de gestion civile ou militaire de crise et missions d'observation et de soutien organisées par le Luxembourg et/ou des organisations internationales: dépenses administratives et opérationnelles,28 970,44 770,44 770,45 000,46 000,47 000,Crédit non limitatif et sans distinction d'exercice
Article,35.030,012 35030,01.2.35.030,Contributions obligatoires aux divers budgets et aux autres dépenses communes des institutions internationales et frais s'y rattachant; autres dépenses à caractère international,7 828 659,6 599 822,7 070 733,7 162 653,7 270 092,7 393 684,Crédit non limitatif et sans distinction d'exercice
Article,35.031,012 35031,01.2.35.031,Subventions à des institutions et organisations internationales; subventions pour le financement d'actions internationales de secours et de solidarité,1 314 704,1 350 000,1 300 000,1 204 000,1 106 000,1 106 000,
Article,35.032,012 35032,01.2.35.032,Contributions obligatoires à des opérations de maintien de la paix sous les égides d'organisations internationales ainsi qu'aux mécanismes de gestion de crise de l'UE,5 050 764,4 931 907,6 012 306,6 090 000,6 182 000,6 287 000,Crédit non limitatif et sans distinction d'exercice
Article,35.033,012 35033,01.2.35.033,Contributions volontaires à des missions de gestion civile ou militaire de crise d'organisations internationales,100 000,50 000,50 000,50 000,50 000,51 000,Crédit non limitatif et sans distinction d'exercice
Article,35.060,012 35060,01.2.35.060,Contributions volontaires à des actions internationales à caractère politique ou économique,300 000,300 000,290 000,280 000,270 000,275 000,Crédit non limitatif et sans distinction d'exercice
Section,01.3,013,01.3,Relations internationales.- Relations économiques européennes et internationales et autres actions,1 781 859,1 445 000,2 455 000,2 497 000,2 542 000,2 568 000,
Article,12.140,013 12140,01.3.12.140,Promotion de l'image du Luxembourg,29 396,30 000,1 000 000,1 000 000,1 000 000,1 000 000,
Article,35.040,013 35040,01.3.35.040,Assistance économique et technique et actions de formation sur le plan international,1 752 463,1 415 000,1 455 000,1 497 000,1 542 000,1 568 000,Crédit non limitatif et sans distinction d'exercice
Section,01.4,014,01.4,Immigration,4 828 868,6 672 928,7 081 350,7 428 984,7 307 790,7 485 752,
Article,11.000,014 11000,01.4.11.000,Traitements des fonctionnaires,812 000,683 858,715 307,729 337,745 628,773 334,Crédit non limitatif et sans distinction d'exercice
Article,11.010,014 11010,01.4.11.010,Indemnités des employés occupés à titre permanent,,1 991 746,2 081 287,2 122 402,2 169 810,2 250 435,Crédit non limitatif et sans distinction d'exercice
Article,11.020,014 11020,01.4.11.020,Indemnités des employés occupés à titre temporaire,,,,,,,Crédit non limitatif et sans distinction d'exercice
Article,11.030,014 11030,01.4.11.030,Salaires des salariés occupés à titre permanent,,56 623,59 046,60 196,61 540,63 827,Crédit non limitatif et sans distinction d'exercice
Article,11.040,014 11040,01.4.11.040,Salaires des salariés occupés à titre temporaire,,,,,,,Crédit non limitatif et sans distinction d'exercice
Article,11.130,014 11130,01.4.11.130,Indemnités pour services extraordinaires,,563,0,,,,
Article,12.000,014 12000,01.4.12.000,Frais de traduction et d'interprétation et autres indemnités pour services de tiers,239 277,310 244,279 050,282 678,286 918,291 795,Crédit non limitatif et sans distinction d'exercice
Article,12.002,014 12002,01.4.12.002,Indemnités pour services de tiers: jetons de présence,,0,0,,,,
Article,12.012,014 12012,01.4.12.012,"Frais de route et de séjour, frais de déménagement",,,65 000,65 845,66 833,67 969,Crédit non limitatif et sans distinction d'exercice
Article,12.020,014 12020,01.4.12.020,Frais d'exploitation des véhicules automoteurs,3 654,,,,,,Crédit sans distinction d'exercice
Article,12.040,014 12040,01.4.12.040,"Frais de bureau: journaux, livres et périodiques",849,,,,,,
Article,12.070,014 12070,01.4.12.070,Location et entretien des équipements informatiques,29 999,0,0,,,,Crédit sans distinction d'exercice
Article,12.080,014 12080,01.4.12.080,Bâtiments: exploitation et entretien,254 573,256 000,264 700,268 141,272 163,276 790,Crédit sans distinction d'exercice
Article,12.120,014 12120,01.4.12.120,Frais d'experts et d'études,,1 500,7 500,500,1 500,1 500,Crédit non limitatif et sans distinction d'exercice
Article,12.150,014 12150,01.4.12.150,Frais d'examens médicaux,1 105,5 380,32 300,32 720,33 211,33 775,Crédit non limitatif et sans distinction d'exercice
Article,12.190,014 12190,01.4.12.190,"Colloques, séminaires, stages et journées d'études, frais d'organisation et de participation",4 761,24 000,3 500,3 546,3 599,3 660,Crédit sans distinction d'exercice
Article,12.250,014 12250,01.4.12.250,Frais d'exploitation courants,,51 240,21 950,22 261,22 625,23 044,Crédit sans distinction d'exercice
Article,12.251,014 12251,01.4.12.251,Centre de rétention: Frais de fonctionnement,2 050 102,2 409 030,2 626 854,2 665 856,2 700 423,2 744 652,Crédit sans distinction d'exercice
Article,12.300,014 12300,01.4.12.300,Dépenses directes et indirectes en relation avec le retour de personnes en situation irrégulière,1 165 312,630 000,654 000,662 502,672 440,683 871,Crédit non limitatif et sans distinction d'exercice
Article,12.301,014 12301,01.4.12.301,Titres de séjour: frais d'acquisition de matériel; entretien et réparation de machines; dépenses diverses,198 750,100,100,242 000,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.320,014 12320,01.4.12.320,Frais d'abonnements à des agences d'informations et à des bases de données,16 272,0,0,,,,
Article,12.330,014 12330,01.4.12.330,Participation de l'Etat à la réalisation de projets européens en matière d'immigration et d'asile dans le cadre du Fonds Asile et Migration,,181 500,209 756,210 000,210 000,210 000,Crédit non limitatif et sans distinction d'exercice
Article,33.300,014 33300,01.4.33.300,Aides bilatérales ou multilatérales à la réinsertion des rapatriés ainsi qu'en faveur d'actions visant une meilleure gestion des flux migratoires; subventions poursuivant le même objectif à des organisations internationales et à des ONG,21 000,30 000,25 000,25 000,25 000,25 000,Crédit sans distinction d'exercice
